,statement,is_toxic
90,"(the tests are pretty useless anyway. they're really just checking that you're not using a toolchain that doesn't support this stuff. they don't try to confirm that any of the atomic stuff is actually, you know, atomic :-) )",0
91,(this is the other thing i don't like about __has_* --- unlike __GNUC_PREREQ they don't carry their own use-by date :-) ),0
92,"(Unrelated to this patch, just a general comment.) Is this used anywhere? If this is actually used, it's a bug -- we should switch to using cros-board eclass.",0
93,"(Yuck, I think min and max would actually have to query rd.min() and rd.max()).",1
94,(yuck. i dread to think how many people are using this.),1
95,*$%^#!  That was just sloppy... I meant to change it before checking it in :(,0
96,"*close_flag

this should probably be a bool, not an int.",0
97,"*cough*.  Typo in ripping the patch out of another patch.

Admittedly, a very dumb typo.",1
98,"*sigh*... yeah, I can see why you had to do this. Stupid compiler.

Still, can you please hide this (with the offsetof() calculation) inside the MUX() and PLL() macros instead of putting another register list here?",1
99,"*vm_concierge_pid_out to log PID instead of address, i think",0
100,"..
 short support_semi_mt;  // bool
 short is_button_pad;  // bool",0
101,"... because presumably this whole block of code is not called if bCheckDirect == false. And that is if and only if (as far as I can see) nElement is endParaRPr

So you can as well do 

if ( nElement != XML_endParaRPr)
{ 
  GETAD( CharUnderline) 
  ...
}",0
102,... but with SvxBackgroundColorItem instead of XFillBackgroundItem and SID_ATTR_BRUSH_CHAR instead of XATTR_FILLBACKGROUND,0
103,... so this check is completely pointless,0
104,... this doesn't actually work when called at runtime because staticmethods have weird behavior :(. Fixing.,0
105,"... which means they're now out of sync

why can't you use the values as they exist already in common.sh ?",0
106,"...
register_input_dev:
  input_dev_create
  enable_irq
  handle_messages
free_cfg_copy:
  free(cfg_copy)
err_alloc_copy:
  release_fw",0
107,...? You're overwriting w0 again after this without using it.,0
108,"...actually, while you're here, would you mind changing the others to false?",0
109,"...and more constructively, to avoid that, you'll want to also check SyncService::IsSyncFeatureEnabled().",0
110,"...and you definitely don't need to parse a string!

you know this is a sockaddr_in, so just cast.",0
111,"...but i'd rather we thought about which new _languages_ we add. i don't understand how you decided which ones to add here, so let's just stick with the same set of languages in this change and we can discuss increasing the set of languages separately.

(especially because the CLDR data for non-mainstream languages is often of very low quality; i'd rather not include a language at all than include crap data for it.)",1
112,...but i'll make this change right now so this at least still compiles for other LP64 architectures even if it rejects every ELF file at runtime because it's ignorant of their relocation types.,0
113,"...but we should probably switch the tests over to using this, and then we can really kill deleteContents.",0
114,"...shut up, smartypants.",1
115,...shut up.,1
116,...that comment's obsolete now and should be removed,0
117,"...that was supposed to be 5 minutes, but I'm an idiot.",0
118,"...this?
 https://bugs.chromium.org/p/chromium/issues/detail?id=869277",0
119,"../../extensions/browser/extension_prefs.cc:348:3: error: no matching function for call to 'MakeCheckOpValueString'
  DCHECK_EQ(observer_list_.begin(), observer_list_.end());
  ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
../../base/logging.h:939:31: note: expanded from macro 'DCHECK_EQ'
#define DCHECK_EQ(val1, val2) DCHECK_OP(EQ, ==, val1, val2)
                              ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~
../../base/logging.h:911:29: note: expanded from macro 'DCHECK_OP'
  EAT_STREAM_PARAMETERS << (::logging::MakeCheckOpValueString(      \
etc
etc
etc (C++ template nonsense)",0
120,".cfi_restore r4
.cfi_restore r5
.cfi_restore r6
.cfi_restore r7",0
121,.clear_hpd = &ps8751_tcpc_clear_hpd_status,0
122,".destroy = drm_plane_cleanup,",0
123,.endswith is dangerous ... you probably want os.path.basename instead,0
124,".fb_fillrect	= drm_fb_helper_cfb_fillrect,
.fb_copyarea	= drm_fb_helper_cfb_copyarea,
.fb_imageblit	= drm_fb_helper_cfb_imageblit,",0
125,".hPrivData = &gsSysConfig,",0
126,/* AbortSignal */,0
127,/* can_move_object */ false,0
128,/* component_id */,0
129,/* create_bitmap */ true,0
130,/* delegateFocus */,0
131,"/* Discard data, but still update checksum */

This is weird.  We're reusing 'res' not as a result, but merely as a dummy value.",0
132,/* double_slot */ false,0
133,/* error_code_out */,0
134,/* gpu_fence */,0
135,/* is_exact */,0
136,/* is_exact */ false,0
137,"/* is_exact */, here and below.",0
138,/* is_incognito */,0
139,/* is_long */ false,0
140,/* is_min */ false,0
141,/* is_opaque */,0
142,/* LIBQMI_FILE_H */,0
143,/* LIBQMI_MOCK_H */,0
144,/* LIBQMI_POLLER_H */,0
145,/* LIBQMI_QMICTL_H */,0
146,/* LIBQMI_QMIDEV_H */,0
147,/* LIBQMI_QMIMSG_H */,0
148,/* LIBQMI_QRB_H */,0
149,/* LIBQMIDEV_DEV_H */,0
150,/* LIBQMIDEV_QMIDEV_H */,0
151,/* loader_factory */,0
152,/* paramaterName */,0
153,/* parameter_name */,0
154,/* parameterName */,0
155,/* retrievable */,0
156,/* sortAnnotations */,0
157,/* top_level_url */,0
158,/** javadoc,0
159,"/**
 * @param {!device.mojom.UsbDeviceManagerProxy} usbManager
 */",0
160,"/**
 * Javadoc comments must use this style.
 */",0
161,"/**
 * Javadoc style for comments outside of methods.
 */",0
162,/*compiling_boot_image*/,0
163,/*delete_children*/,0
164,"/*eula_accepted*/
or even
/*eula_accepted_callback_*/",0
165,/*match_header*/,0
166,/*out_channels*/,0
167,/*out_header*/,0
168,/*start_time*/,0
169,"// Blocked without sniffing.
(maybe?  maybe reorder?)",0
170,// fchmod is necessary because umask might not be zero.,0
171,"// The PID of the run_oci process. Note that this is not the container's init PID.
pid_t run_oci_pid_;",0
172,"/bin/sh, since you don't really need bash-specific syntax.",0
173,/data/anr should not be writable to the shell user. Known security hole.,0
174,"/me feels stupid! The audio element needs to be added to the DOM so that Mutation Observer callbacks are called. You're right about the DCHECK. I'll fix it!

Thanks for the drive-by review!",0
175,"/me sees the missing 'e' as well

Okay, aspell was full of shit.",1
176,/proc/ + pid + /status is very short and inline is fine to me.,0
177,"/tmp/chrome_root should probably be retrieved from the enviornment variable $CHROME_ROOT, if possible",0
178,":) I told you that I'm dumb in naming, didn't I? :)
Please suggest any, it's absolutely above my imagination :)",0
179,:) silly me!,0
180,:O SFINAE!!! *shakes fist*.,0
181,";-)

While playing with replacement of boost::bind with std::bind I'm seeing the failures to compile on most recent clang++. That's because std::bind cannot induce the type of overloaded function: [1]. So something like that is failing to compile (without explicit cast, that is going to be ugly):

  +++ b/basegfx/source/range/b2drangeclipper.cxx
  +using namespace std::placeholders;
  namespace basegfx
 {
     namespace
  @@ -496,9 +497,9 @@ namespace basegfx
                 B2DPolygon aRes;
                 std::for_each( maPoints.begin(),
                                maPoints.end(),
  -                             boost::bind(
  +                             std::bind(
                      &B2DPolygon::append,
  -                                 boost::ref(aRes),
  +                                 std::ref(aRes),
                                    _1,
                                    1 ) );

with the following error: [2]. How can you replce the bind above with labmda?

* [1] http://stackoverflow.com/questions/10555566/is-there-any-difference-between-c11-stdbind-and-boostbind
* [2] http://paste.openstack.org/show/356353",0
182,"? why is this split up in this way? 
 'Cleaning up staging directory %s DOWNLOAD' % staging_dir? 
 
 If cherry py is using pythons logging facility (which I assume it is)
 you can also just do cherrypy.log('Cleaning up staging directory %s DOWNLOAD', staging_dir) so you don't have to wrap in a weird way.",0
183,"?????? I'm trying to figure out where that came from.

This change has been a disaster right from the outset - for some reason my brain decides to go fuck things up.

I think the intention here was to detect cases where ICU lied to us about the new size, but it should return U_BUFFER_OVERFLOW_ERROR again and we'd fail.",1
184,"@Alexandre: Correct, vixl recognizes those three constants and moves the const to a temp reg otherwise.

@Andreas: Lol, I love how you call your code 'specialized'. Someone was pretty anally retentive about selects. I'll see what I can do. ;)",1
185,"@Dmitry, but locking used only in case of cfg == NULL, and now we are not calling __wl_update_wiphybands() in this case",0
186,"@Jamie, the dirty bit DIRTY_BIT_VIEWPORT_STATE is a private member of StateManager11, so I put the check in StateManager11. How do you think?",0
187,@Nonnul? Create a dummy RunnableHook?,0
188,@Nonnull*3,0
189,"@Override: we tend to have it on the same line, like this.

Objects.toString: you're confusing Sun's fairly useless one with our fairly awesome one. look at the imports. (we were here first!)",0
190,"@return {boolean}, (but this is obsolete anyway, based on my other comment).",0
191,@vmarko: I asked him the same and still believe his answer is bogus.,0
192,[[ is bash specific. Try to not use it when your shebang is #!/bin/sh in Chrome OS.,0
193,"[[ -z ${...} ]] && die ...

also, add this to the func while you're here:

 [[ $# -eq 0 ]] || die ""${FUNCNAME}: takes no arguments""",0
194,"[~][UID][/PID]

Where UID or PID can be replaced with ! to indicate 'worst'. ~ means to blacklist, w/o means whitelist.

I will share the whitelist / blacklist document with you.

Not sure I want to beef this up too much, will consider making the README a little bit more verbose.",0
195,"[ditto here]

Looking at the code, it looks like it actually causes the download to be skipped fro any already downloaded tarballs and just extracts them. Is the help text just off?",0
196,"[Just a suggestion. You can keep it as it is, since I don't see a big difference either way, but...]


I agree with the the aesthetic appeal of keeping fields and their types together. Other than that, I'm not convinced. I don't see why you need to inspect this object at all. I don't see the advantage of this over something as dumb as:

  class NtbParameters(object):
      def __init__(self, w_length, bm_ntb_formats_supported, ...):
          self.w_length = w_length
          self.bm_ntb_formats_supported = bm_ntb_formats_supported
          ...

      @classmethod
      def get_format_string(cls):
          return 'HHIHHHHIHHHH'
 
Since you don't have a functions to automatically pack / unpack this object, I don't see why you need to be able to access the object attributes using strings (so, I don't understand why you need to use inspect / setattr).",0
197,[nit] gatbage->garbage,0
198,"[no action required]

yuck. This API gives us

 - int (rather than long!) values representing milliseconds that we then have to add ourselves
 - which we then need to pass into a ZoneOffsetTransition as seconds (!)

feels incredibly confusion / error prone.",1
199,^^^ Can this logic be a DCHECK? Excessive callbacks are strange.,0
200,"__ Cmp(op1_reg, 0);

and get rid of `op2_reg`.",0
201,"__ doesn't support pointer to member function, unfortunately.  I tried several things.  I *think* that the problem is that ->* has to be one token (???)",0
202,"__NR_ and SYS_ are the two common prefixes for the userspace constants for system calls. (i forget which is SYSV and which is the other one.) so you need to grep your linux kernel tree for clone or read ""man 2 clone"" or whatever.

what's happening here is that other than 'flags' and 'fn' being the wrong way round, __bionic_clone's arguments are the same as the kernel's syscall. that's handled in the next block. up here, we're stashing the two arguments that __bionic_clone_entry will need later.

i'd like to reorder to remove the need for the later block, but some retard made this public ABI, so i worry i'd break something. (i'd also like to kill __pthread_clone and just use this more general form, but since we probably have to keep this for ABI compatibility anyway...)

it's worth thinking about simplifying all this for the 64-bit architectures though.",0
203,"__str__ in this case is a bit off imo; and yes it's a bit of a javaism, but __str__ on an object generating a giant ass xml dump?  That's not exactly pythonic.",1
204,"__system_property_set cannot be called directly from any process other than pid 1.  It assumes a single writer, and writing to the property store from the ueventd process may corrupt all properties.  The property store should be read only, so if it succeeds that is a bug.  Even if you were to use the libcutils implementation it would still deadlock with init waiting on the property socket.",0
205,"_BUS and _ADDR should be removed, as they're not used in a DT build.",0
206,"_check_for_suid_sandbox?

I'd also pass in the renderer pid to be explicit, but your call.",0
207,_JB_SIGMASK should be _JBLEN.,0
208,_system_pwr is tricky. power_status.py should have exposed this. Make _system_pwr a constant.,0
209,`.gyp` files made by silly writers e.g. https://github.com/nodejs/node/blob/master/tools/icu/icu-generic.gyp#L467,0
210,``abc_touchscreen.py``.,0
211,"`atest host mod` supports a -a option for specifying attributes
as ""key=value"".  For consistency, this command should have its
own option for specifying attributes as ""key=value"" pairs, too.
I'd say this command should use -a, too, but it's already taken.

Really, 'create' and 'mod' should support the same options.
Unfortunately, <rant>WE'RE STUPID, AND WE LET THE
COMMANDS DIVERGE</rant>.  Still, we should find some way
to specify attributes as ""key=value"", rather than adding individual
options for each attribute.  It will help keep the stupidity from
spreading.",1
212,`cbuildbot chromiumos-sdk` would be the other big one,0
213,`git cl` doesn't work for CrOS.  you want `repo upload` instead.,0
214,`import adb` is sufficient. The __init__.py imports device.*.,0
215,`scanelf -qe` works better in my fairly biased opinion ;),0
216,{ end } are not useful here,0
217,{!AndroidAppsInfo},0
218,"| ArtMethod* NULL      | <- SP

to something like:

| StackReference NULL  | <- SP (ArtMethod* NULL)",0
219,"|container_pid| is not a child of session_manager, so IIUC this will never be true. Don't you need to compare |pid| to |run_oci_pid_|?",0
220,"++reg (yes, I do it all time too.  Old habits die hard_",0
221,"+1 ... all you need to really do is delete all the ""|| die"" here",0
222,"+1 also this file is using Fake* for these mocks, so let's call this Fake also.",0
223,+1 for stupid eclipse. I didn't even notice this initially. Thanks for pointing it out...,1
224,"+1 it should be ""web content"", I have the same mental association as dcheng@",0
225,"+1, we should use kNewBrowserTabFromUser if !from_server.",0
226,"<5>[  115.215850] type=1400 audit(1384542176.247:35): avc:  denied  { read } for  pid=457 comm=""mediaserver"" scontext=u:r:mediaserver:s0 tcontext=u:r:mediaserver:s0 tclass=socket",0
227,<idiot>Forgot to upload.</idiot>,1
228,<insert-groundhog-day-meme-even-more-since-the-lines-are-still-too-damn-long!>,1
229,<whimper> I hate that autotest and PEP-8 can't agree on this.  :-(,0
230,"= { sdkRootDirectory, ""platform-tools"", ""adb"" };
Or, even better, PathUtils::join(a, ""b"", ""c"");",0
231,= FLAG_track_double_fields && !FLAG_unbox_double_fields;,0
232,"==' is not case insensitive, so that is not an equivalent change

While we are at it, let's get rid of that ugly straircase effect
align all the pFont-> under the one on the if( line
if ( pFont->...  ||
     pFont->.. ||
     pFont->....",1
233,"'==' is not case insensitive, so that is not an equivalent change

While we are at it, let's get rid of that ugly straircase effect
align all the pFont-> under the one on the if( line
if ( pFont->...  ||
     pFont->.. ||
     pFont->....",0
234,== nullptr,0
235,"> |count| is not a bool. Use explicit comparison with zero. Don't add hacks/tricks. Try to reduce mental load of code readers.

Done.",0
236,"> =n isn't valid syntax ... unless our custom scripts are checking for that, but i don't think they are
 
 But apparently it's doing enough to block Matthias...
 
 > stop looking closely at code! that's how you find bugs!
 
 Dear me, I've forgotten my manners! I think I've lost my rubber stamp somewhere.",0
237,"> > hammerd should be executed before EC jumps to RW?
 > 
 > Yes, hammerd should also help RO jump into RW as quickly as possible (I'd prefer jumping to RW quickly, then figure out if we need an update, and reboot).
 
 (basically, don't worry about this for now, this is an optimization)",0
238,"> > Hard-coding board names is a bad idea and from what I know, discourage by the infra team.
> > See the below from assign_stable_images.py:
> > 
> > # N.B.  HARDCODED BOARD NAMES ARE EVIL!!!  This blacklist uses hardcoded
> > # names because it's meant to define a list of legacies that will shrivel
> > # and die over time.
> > #
> > # DO NOT ADD TO THIS LIST.  If there's a new use case that requires
> > # extending the blacklist concept, you should find a maintainable
> > # solution that deletes this code.
> 
> I am not sure if this necessarily applies to the tests as well. Debayan already added a message stating the need for skipping the test on these boards and we can change that to a TODO predicated on the fix for the associated bug.
> 
> Adding +dshi@ for his thoughts on skipping tests for certain boards due to board specific issues.

Here are couple other examples of skipping tests for certain boards / builds...

https://cs.corp.google.com/chromeos_public/src/third_party/autotest/files/client/site_tests/video_ChromeHWDecodeUsed/video_ChromeHWDecodeUsed.py?l=21

https://cs.corp.google.com/chromeos_public/src/third_party/autotest/files/client/site_tests/video_ChromeRTCHWDecodeUsed/video_ChromeRTCHWDecodeUsed.py?l=27",0
239,"> > I made my own because android.util.MutableBoolean is deprecated in P. If you have any ideas for a similarly concise but less ugly way of letting tests know whether the loader decided to request a new seed...
 > 
 > umm... I suppose you can subclass CallbackHelper and pass whatever data you want from it
 
 I tried a few things but I'll keep it as-is if you don't object.
 
 Conceptually I want a ""Future<Boolean> testLoaderResult"" object for which I can set the boolean value without unblocking the test thread (in requestSeedFromService()), and then unblock it later (in onBackgroundWorkFinished()).
 
 Basing such on object on CallbackHelper might not be any better than what I have now; I can't explicitly protect the derived class' boolean with CallbackHelper's internal lock, so the boolean field would need to be handled just as carefully as MutableBoolean currently is.
 
 Basing the object on FutureTask is confusing because the Runnable/Callable has nothing to do.
 
 I could use CompletableFuture or BlockingQueue (like a Go channel) but those makes it difficult to separate setting the boolean from unblocking the test thread.",0
240,"> > one bogus function from util/mach/child_port_server.cc, and five bogus functions from util/mach/notify_server.cc.
> 
> Gerrit is being absolutely awful, but it looks like you didn't actually remove the now-unused stubs in the two other .cc files.

Do'h. They are sitting on my workstation unstaged. I'll send a follow-up tomorrow.",0
241,"> > This previously used a TestNavigationObserver, but this no longer works for the filesystem URL following Mustafa's r554850, because a top-level filesystem URL navigation will be blocked on the renderer side.  I wanted to keep this test uniformly handling both blob and filesystem URLs, so I tried to use WaitForLoadStop(), which just exits immediately if a navigation hasn't started yet.  However, with blob: URLs, that still didn't work, because that navigation is scheduled on the renderer side, so the ExecuteScript that sets location above returns before we've received the BeginNavigation from the renderer.  Hence this ugly extra dummy ExecuteScript.  Without it, we performed the checks below too early, and when GetTextContent() below did a roundtrip to the renderer, we actually received the BeginNavigation and created a speculative RFH, which caused GetRenderFrameHostsForExtension to fail.
> > 
> > Alternatively, I could wait for filesystem URLs to fail with a console error, similar to what Mustafa did on line 1118.
> 
> Does the console error approach work for both blob and filesystem URLs?  If so, it might be better to stick with one semi-awkward technique for this file than have different ones in different tests.  :)  Otherwise, this seems ok given the explanatory comment.

No, unfortunately blobs don't output the console error.  Given that, I'll stick with this approach.

> 
> > Separately, in light of Mustafa's change (once we're certain that it sticks), we might want to kill the renderer if it actually sends us a BeginNavigation with a top-level filesystem URL (to handle the compromised renderer case) and add a separate test for that.
> 
> Yes, it'd be a good thing to add to the CanCommitURL checks, which I'm currently working on in https://chromium-review.googlesource.com/c/chromium/src/+/1025075.",0
242,"> Added here https://chromiumcodereview.appspot.com/14682021
 
 what about the calls from the embedder?",0
243,"> Done

Oh darn, I forgot a ""not"" in my comment... delayed tasks are *not* delivered, which is same as quitSafely",1
244,"> drive-by DLOG?

Done. Makes sense, this is totally useless for users..",0
